tag,prep_time_s,train_time_s,total_time_s,rmse,mae,r2,n_train,d,rmse_std,train_time_std,prep_time_std,total_time_std
full,0.0,6.3376641273498535,6.3376641273498535,9.88678583351594,5.0963957714768835,0.9860140768858061,28048,119,,,,
jl_gauss_5_run0,0.001135110855102539,1.054267168045044,1.0554022789001465,55.4975500644804,41.46135746293458,0.5593147582874748,28048,5,,,,
jl_gauss_5_run1,0.0013027191162109375,1.027651071548462,1.0289537906646729,62.944647083196024,46.30680390329696,0.4331104008261146,28048,5,,,,
jl_gauss_5_run2,0.0012028217315673828,0.9849090576171875,0.9861118793487549,54.39610959203228,40.30733427058294,0.5766334288141735,28048,5,,,,
jl_gauss_5_run3,0.0012161731719970703,1.0315461158752441,1.0327622890472412,59.64486358919224,43.554425798822145,0.4909892171117515,28048,5,,,,
jl_gauss_5_run4,0.0012888908386230469,0.9648561477661133,0.9661450386047363,53.19722027513722,37.42138210027366,0.5950897577620649,28048,5,,,,
jl_gauss_5_mean,0.0012291431427001952,1.0126459121704101,1.0138750553131104,57.13607812080763,,,28048,5,4.054019017458161,0.03663296374493716,6.834895569987476e-05,0.03659765904872629
jl_gauss_15_run0,0.0015790462493896484,2.9302709102630615,2.931849956512451,40.879632183239735,30.037475104826964,0.7608915950792158,28048,15,,,,
jl_gauss_15_run1,0.0016798973083496094,2.942762851715088,2.9444427490234375,51.4710121733857,37.52298204903606,0.620941446842757,28048,15,,,,
jl_gauss_15_run2,0.0019769668579101562,3.026916027069092,3.028892993927002,40.94229978539636,29.32240518748043,0.760157937023338,28048,15,,,,
jl_gauss_15_run3,0.0016200542449951172,3.054246187210083,3.055866241455078,45.92561369528899,32.30930981313284,0.6982197458023711,28048,15,,,,
jl_gauss_15_run4,0.0016930103302001953,2.9891879558563232,2.9908809661865234,41.65758023491008,29.789887378025405,0.751704435125598,28048,15,,,,
jl_gauss_15_mean,0.0017097949981689452,2.9886767864227295,2.9903865814208985,44.17522761444417,,,28048,15,4.581038192489427,0.05310645655033126,0.0001562890252548858,0.05316941388057768
jl_gauss_20_run0,0.001811981201171875,3.853102207183838,3.8549141883850098,38.95421185519353,28.624763225841278,0.7828850509975174,28048,20,,,,
jl_gauss_20_run1,0.001986980438232422,3.795929193496704,3.7979161739349365,48.04447698788067,34.95557019821088,0.6697309910598324,28048,20,,,,
jl_gauss_20_run2,0.0019528865814208984,3.912147045135498,3.914099931716919,38.05601616515802,27.206673785592372,0.7927819755448063,28048,20,,,,
jl_gauss_20_run3,0.0018529891967773438,3.9125380516052246,3.914391040802002,44.148295510846516,30.949942219213654,0.7211255254794402,28048,20,,,,
jl_gauss_20_run4,0.0019159317016601562,3.972810983657837,3.974726915359497,41.13433981659921,29.226928428344362,0.7579026998667697,28048,20,,,,
jl_gauss_20_mean,0.0019041538238525391,3.8893054962158202,3.8912096500396727,42.067468067135586,,,28048,20,4.083788603251619,0.06720205812719922,7.156720539303834e-05,0.06718911500360662
jl_gauss_25_run0,0.0021750926971435547,4.960968017578125,4.9631431102752686,36.27091207214602,25.8106228427798,0.8117661018095021,28048,25,,,,
jl_gauss_25_run1,0.002176046371459961,5.085406303405762,5.087582349777222,45.58448572485045,32.9810145398126,0.7026862447991824,28048,25,,,,
jl_gauss_25_run2,0.0022149085998535156,5.0563788414001465,5.05859375,34.44460921041803,24.132561336025635,0.8302446748095916,28048,25,,,,
jl_gauss_25_run3,0.002276182174682617,5.061017990112305,5.063294172286987,43.418555968809976,30.4813445610961,0.7302685208032874,28048,25,,,,
jl_gauss_25_run4,0.002178668975830078,5.301573991775513,5.303752660751343,38.539686330296455,27.21709282083191,0.7874812589402393,28048,25,,,,
jl_gauss_25_mean,0.0022041797637939453,5.09306902885437,5.095273208618164,39.65164986130419,,,28048,25,4.7214205023451195,0.1258542341799888,4.355399123517218e-05,0.1258463702384352
sub_10,0.0038912296295166016,0.495013952255249,0.4989051818847656,13.387412075790694,6.693933721355594,0.9743566862365581,2804,119,,,,
sub_25,0.0027022361755371094,1.4417080879211426,1.4444103240966797,11.636820518433062,5.859030601065296,0.9806246500557166,7012,119,,,,
sub_50,0.005819082260131836,3.0753061771392822,3.081125259399414,10.712380313217574,5.449543431898871,0.9835807676523273,14024,119,,,,
